"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","prolific_id","att_1","att_2","comp_1","comp_2","automation","firm_resp_1","human_resp_1","firm_liable_1","human_liable_1","reason","comp_3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","ai_knowledge_1","workerID","hitID","assignmentId","label"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Informed Consent 



Participation is voluntary 

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated systems. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 3 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research? 

You will be compensated $0.60 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is [anonymized] who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","To show whether you are reading carefully, please select ""Neither Agree nor Disagree"" in the options below.","You were shown a table. What did the table represent?","What were the values for vehicle type #1 (the one at the top of the table)?","What do you perceive as the level of automation for AEON's [Field-label] Program?","Aeon's [Field-label] is responsible for the accident. - Aeon's ${e://Field/label} is responsible for the accident.","The human in the car is responsible for the accident.","Aeon, the company, is liable for the damages from the accident.","The human in the car is liable for the damages from the accident.","In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the [Field-label] system described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","How much would you say you know about Artificial Intelligence?","workerID","hitID","assignmentId","label"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID336""}","{""ImportId"":""QID1717242892_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID352""}","{""ImportId"":""QID351""}","{""ImportId"":""QID355""}","{""ImportId"":""QID341_1""}","{""ImportId"":""QID343_1""}","{""ImportId"":""QID357_1""}","{""ImportId"":""QID358_1""}","{""ImportId"":""QID359_TEXT""}","{""ImportId"":""QID329""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""workerID""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""label""}"
"2024-11-12 12:45:38","2024-11-12 12:48:56","0","Anonymized","100","197","1","2024-11-12 12:48:56","R_3m43cAw2XmIhpIt","","","","","Anonymized","Anonymized","anonymous","EN","1","5fe03581b5d1fc9318daec65","2","5","2","4","4","63","100","63","100","At the end of the day, the driver is responsible for how the car is responding to the surroundings. The technology failed but that doesnt matter","1","1","","3","","22","3","","71","","","","Lane Sense"
"2024-11-12 12:45:40","2024-11-12 12:50:16","0","Anonymized","100","275","1","2024-11-12 12:50:16","R_7sXu8g9uZjpYJZc","","","","","Anonymized","Anonymized","anonymous","EN","1","65df3cf4bf05d8eff24ed78b","2","5","2","4","6","91","92","91","100","I think the human driver is more liable for the accident. When you get into a vehicle as the operator, you assume the responsibility of liability for any issues that occur. Although the vehicle was self-driving, the human was still responsible for choosing this vehicle and putting trust in its capabilities. ","1","1","","3","","31","4","","66","","","","Full Self-Driving"
"2024-11-12 12:50:30","2024-11-12 12:53:09","0","Anonymized","100","159","1","2024-11-12 12:53:10","R_50UNeziymz9PbuH","","","","","Anonymized","Anonymized","anonymous","EN","1","66cbccb14a33a0aba4263198","2","5","2","4","5","90","10","100","10","It is Aeon's road and any accidents that occur on Aeon's property are the responsibility of Aeon","2","1","","3","","23","4","","90","","","","Lane Sense"
"2024-11-12 12:51:16","2024-11-12 12:53:39","0","Anonymized","100","142","1","2024-11-12 12:53:39","R_3HtUufH7Yc1xH7I","","","","","Anonymized","Anonymized","anonymous","EN","1","5ec70b0d51ab1d148d62a58b","2","5","2","4","4","45","80","60","80","The human driver is more liable as they had more direct involvement and control","1","1","","3","","27","3","","60","","","","Lane Sense"
"2024-11-12 12:51:58","2024-11-12 12:54:08","0","Anonymized","100","130","1","2024-11-12 12:54:08","R_7kY6zlmKQ5PAeYw","","","","","Anonymized","Anonymized","anonymous","EN","1","66746d426f32a4ad246dab42","2","5","2","4","4","81","92","93","86","I think the company is more liable due to the fact that it was a failure of their software.","1","1","","2","","22","4","","31","","","","Full Self-Driving"
"2024-11-12 12:52:34","2024-11-12 12:56:32","0","Anonymized","100","237","1","2024-11-12 12:56:32","R_1h0uV5IJwSCXXdT","","","","","Anonymized","Anonymized","anonymous","EN","1","665c95f671cab5ab72504840","2","5","1","4","6","10","100","10","100","The human driver is responsible for ensuring the machine is doing what it is supposed to be doing","1","2","","3","","52","3","","91","","","","Full Self-Driving"
"2024-11-12 12:53:19","2024-11-12 12:58:28","0","Anonymized","100","308","1","2024-11-12 12:58:29","R_71vkstej1caT50k","","","","","Anonymized","Anonymized","anonymous","EN","1","666a08fa06def34a1331e4f4","2","5","2","4","4","0","100","0","100","i think the human driver is liable for lookinn down at there fun. if youre driving regardless of assistance given, you should keep your eyes on the road","2","1","","3","","28","1","","65","","","","Lane Sense"
"2024-11-12 12:53:43","2024-11-12 12:58:34","0","Anonymized","100","290","1","2024-11-12 12:58:34","R_5mjGb4hCf30j5eg","","","","","Anonymized","Anonymized","anonymous","EN","1","63f87a8c4655faf50e6c445b","2","5","2","4","2","30","100","20","100","When a human is driving, they are fully responsible for what happens while it is under their control. The human in this case was momentarily distracted and caused an accident. Since they ran a stop sign, they would be determined to be the one at fault. Even with the added technology in the car, it is still the human's responsibility to pay attention and be in control of said technology.","1","2","","3","","25","4","","20","","","","Lane Sense"
