"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","prolific_id","att_1","att_2","comp_4","comp_1","comp_2","automation","firm_resp_1","human_resp_1","firm_liable_1","human_liable_1","reason","comp_3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","ai_knowledge_1","workerID","hitID","assignmentId","label","ad"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Informed Consent 



Participation is voluntary 

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated systems. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research? 

You will be compensated $1.00 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is [anonymized] who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","To show whether you are reading carefully, please select ""Neither Agree nor Disagree"" in the options below.","What is the claim made by Aeon in the advertisement above?","You were shown a table. What did the table represent?","What were the values for vehicle type #1 (the one at the top of the table)?","What do you perceive as the level of automation for AEON's [Field-label] Program?","Aeon's [Field-label] is responsible for the accident. - Aeon's ${e://Field/label} is responsible for the accident.","The human in the car is responsible for the accident.","Aeon, the company, is liable for the damages from the accident.","The human in the car is liable for the damages from the accident.","In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the [Field-label] system described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","How much would you say you know about Automated Vehicles?","workerID","hitID","assignmentId","label","ad"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID336""}","{""ImportId"":""QID1717242892_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID362""}","{""ImportId"":""QID352""}","{""ImportId"":""QID351""}","{""ImportId"":""QID355""}","{""ImportId"":""QID341_1""}","{""ImportId"":""QID343_1""}","{""ImportId"":""QID357_1""}","{""ImportId"":""QID358_1""}","{""ImportId"":""QID359_TEXT""}","{""ImportId"":""QID329""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""workerID""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""label""}","{""ImportId"":""ad""}"
"2024-11-19 09:24:33","2024-11-19 09:26:37","0","Anonymized","100","123","1","2024-11-19 09:26:37","R_70jXpokdyOiTV02","","","","","Anonymized","Anonymized","anonymous","EN","1","5ce60ecb3efe9700011158c0","2","5","","1","4","6","61","59","81","32","I think aeon is more liable because they have systems in place for this exact reason. ","1","2","","3","","28","3","","10","","","","Autopilot","no"
"2024-11-19 09:24:10","2024-11-19 09:28:00","0","Anonymized","100","229","1","2024-11-19 09:28:01","R_1GPq5sfXzWMGWiH","","","","","Anonymized","Anonymized","anonymous","EN","1","66482b4e780350f79db0ad74","2","5","","2","4","5","10","100","9","96","A human should never take their eyes completely off the road and always pay attention in intersections. While diving technology is good the human behind the wheel is ultimately in charge of the vehicle ","1","1","","3","","34","4","","22","","","","Copilot","no"
"2024-11-19 09:23:34","2024-11-19 09:28:02","0","Anonymized","100","268","1","2024-11-19 09:28:03","R_1TYL5oY7KxYM67k","","","","","Anonymized","Anonymized","anonymous","EN","1","66d89583d7dd156748fa2876","2","5","1","2","4","6","50","100","91","91","I believe they both should be liable. The buck stops with the human, but Aeon should also bear responsibility for promises broken and a faulty system. ","1","1","","3","","44","4","","51","","","","Autopilot","yes"
"2024-11-19 09:24:09","2024-11-19 09:29:04","0","Anonymized","100","295","1","2024-11-19 09:29:05","R_18NE2zJvaqAF2I1","","","","","Anonymized","Anonymized","anonymous","EN","1","611be78d32ef41e54356a695","2","5","","2","4","2","72","100","70","100","the human driver is more liable because they are the ones responsible for the actions of the car. the human should always monitor the autopilot system, using it as a tool rather than trusting it to actuallt drive the car","1","2","","3","","26","4","","42","","","","Autopilot","no"
"2024-11-19 09:26:21","2024-11-19 09:30:08","0","Anonymized","100","226","1","2024-11-19 09:30:09","R_7VyDmRheMpYkChL","","","","","Anonymized","Anonymized","anonymous","EN","1","6638ed262efe738312dfc56c","2","5","1","2","4","1","54","57","62","54","They are mutually at fault. The driver became distracted but with the copilot system, the sigh should have been noticed.","1","2","","1","","21","3","","52","","","","Copilot","yes"
"2024-11-19 09:28:00","2024-11-19 09:31:19","0","Anonymized","100","198","1","2024-11-19 09:31:19","R_5M6keDv46pDFvZQ","","","","","Anonymized","Anonymized","anonymous","EN","1","66c521c2d2ce8a5c2a38a2a4","2","5","1","2","4","5","100","80","75","85","While the company is at fault for making a automated system that is incapable of detecting a stop sign the person is also at fault for not being in control at all.","1","1","","2","","18","1","","70","","","","Copilot","yes"
"2024-11-19 09:29:14","2024-11-19 09:32:09","0","Anonymized","100","174","1","2024-11-19 09:32:09","R_3PqiFF6VphwBAjh","","","","","Anonymized","Anonymized","anonymous","EN","1","66f6f3e523dfb1a01c4e35aa","2","5","","2","4","5","60","80","30","60","The human driver is more liable because they are supposed to follow the rules of the roads which include not looking at their phone.","1","1","","2","","26","4","","30","","","","Autopilot","no"
"2024-11-19 09:25:34","2024-11-19 09:32:13","0","Anonymized","100","399","1","2024-11-19 09:32:14","R_3bXHGRW40hWRv57","","","","","Anonymized","Anonymized","anonymous","EN","1","5d7c6d39a9f18900015f3094","2","5","","2","4","2","32","75","6","94","I think that there is a responsibility for drivers to pay attention to the road no matter how automated it is. Legally this is true for liability that's why a lot of electric vehicle tracks eyes and all that. And even beside that, the driver is operating a car and should be paying attention because it is dangerous. At minimum, the driver should be able to take control at any time to stop the car.","1","1","","2","","34","5","","61","","","","Copilot","no"
