StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,Q1,att_1,att_2,comp_1,comp_2,auto_1,auto_1_ad,ad_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,co_1_ad,ad_2,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5-10 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $1.00 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.",You were shown a table. What did the table represent?,What were the values for vehicle type #1 (the one at the top of the table)?,What do you perceive as the level of automation for AEON's AUTOPILOT Program?,What do you perceive as the level of automation for AEON's AUTOPILOT Program?,What is the claim made by AEON in the advertisement above?,Aeon's Autopilot is responsible for the accident.,The human in the car is responsible for the accident.,"Aeon, the company, is liable for the damages from the accident.",The human in the car is liable for the damages from the accident.,"In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Autopilot described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.",What do you perceive as the level of automation for AEON's COPILOT Program?,What do you perceive as the level of automation for AEON's COPILOT Program?,What is the claim made by AEON in the advertisement above?,Aeon's Copilot is responsible for the accident.,The human in the car is responsible for the accident.,"Aeon, the company, is liable for the damages from the accident.",The human in the car is liable for the damages from the accident.,"In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the Copilot system described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.",What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,Do you have a driving license?,How much would you say you know about automated cars?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID1716669947_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID143""}","{""ImportId"":""QID148""}","{""ImportId"":""QID113_10""}","{""ImportId"":""QID123_10""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID124_1""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID131""}","{""ImportId"":""QID10""}","{""ImportId"":""QID150""}","{""ImportId"":""QID155""}","{""ImportId"":""QID118_10""}","{""ImportId"":""QID126_10""}","{""ImportId"":""QID122_1""}","{""ImportId"":""QID127_1""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID132""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""PROLIFIC_PID""}"
2023-11-03 07:20:34,2023-11-03 07:24:40,0,68.229.78.104,100,246,1,2023-11-03 07:24:41,R_RCfqShQrGksXb3P,,,,,41.6842,-71.2649,anonymous,EN,1,63229743b87eb38a02b76671,2,2,2,4,,,,,,,,,,4,,,60,100,70,100,"The human driver ought to be responsible for the usage of any and all technology within the vehicle, including things like radio, climate controls, and features like cruise control. However, a specific function of Aeon's technology did fail, so they bear some responsibility.",1,1,,3,,33,4,,1,66,63229743b87eb38a02b76671
2023-11-03 07:22:16,2023-11-03 07:25:31,0,162.213.151.2,100,194,1,2023-11-03 07:25:31,R_OpYPhsMKRCGyVY5,,,,,29.2007,-81.0388,anonymous,EN,1,60fd795a96e15917bb9966c9,2,2,2,4,,,,,,,,,,4,,,80,87,70,80,I think the driver is more liable due to the fact that they are human and chose to look at the phone,1,2,,4,,20,3,,1,38,60fd795a96e15917bb9966c9
2023-11-03 07:27:15,2023-11-03 07:33:31,0,70.160.152.93,100,376,1,2023-11-03 07:33:32,R_1QAuVakr4q1Fb3w,,,,,37.0453,-76.3404,anonymous,EN,1,61083f5aa6ab5733e4fa8e85,2,2,2,4,,,,,,,,,,,3,1,50,60,100,20,"If the COPILOT, which is the company's product, failed to stop at a stop sign then yes they are.",1,1,,3,,22,3,,1,20,61083f5aa6ab5733e4fa8e85
2023-11-03 07:28:23,2023-11-03 07:34:41,0,24.166.30.13,100,378,1,2023-11-03 07:34:41,R_9AktZQCdXwpeyLT,,,,,39.6823,-84.1594,anonymous,EN,1,5dd3eb4bc0823f3d043b96fb,2,2,2,4,,6,1,100,100,100,100,I think that the human driver is more liable than Aeon because Aeon did not claim that a car piloted by its autopilot would be in 100% fewer accidents than a car with a human driver. The human in the car should always be aware and ready to step in if necessary to prevent an accident.,2,,,,,,,,,,2,,3,,53,4,,1,50,5dd3eb4bc0823f3d043b96fb
2023-11-03 07:30:41,2023-11-03 07:35:19,0,99.141.134.103,100,278,1,2023-11-03 07:35:19,R_2B4jM3UshKKhFgK,,,,,32.4644,-93.7207,anonymous,EN,1,62794a276fc2c539bfea92e3,2,2,2,4,6,,,100,100,50,100,"I feel that the human is more responsible because it's their responsibility to be paying attention to the road, no matter what kind of system is in use in the vehicle at the time.",2,,,,,,,,,,2,,5,,57,2,,1,0,62794a276fc2c539bfea92e3
2023-11-03 07:34:28,2023-11-03 07:38:51,0,108.21.253.100,100,262,1,2023-11-03 07:38:52,R_0lnxu8dkYLlDH2x,,,,,40.6472,-73.9405,anonymous,EN,1,6319450b7a1d203beb9fac1c,2,2,2,4,,,,,,,,,,,5,1,10,90,30,75,"The level of claims Aeon is making about the car would determine which party is most at fault and liable. If Aeon is claiming that their car is fully automated and doesn't need a human present than more fault and liability would be on Aeon, the company. The human driver however, as a basic of driving, not be distracted while driving a car.",1,1,,3,,35,4,,1,70,6319450b7a1d203beb9fac1c
2023-11-03 07:40:04,2023-11-03 07:44:30,0,172.59.124.83,100,265,1,2023-11-03 07:44:30,R_1LB9DLxwYxtk81s,,,,,35.4834,-97.6315,anonymous,EN,1,63ced3c0359659b8efef0022,2,2,2,4,,4,1,79,45,78,63,"I think they are both responsible. I think the company had a responsibility to help with this ",2,,,,,,,,,,2,,3,,27,3,,1,27,63ced3c0359659b8efef0022
2023-11-03 07:43:20,2023-11-03 07:45:59,0,69.234.87.236,100,158,1,2023-11-03 07:45:59,R_2w4R2gNV2i8RoTn,,,,,32.7944,-79.9484,anonymous,EN,1,55e733aa41988f001075ce1f,2,2,2,4,,5,1,77,56,62,60,I think Aeon is more liable for the accident because the human had autopilot on.,2,,,,,,,,,,2,,3,,44,4,,1,84,55e733aa41988f001075ce1f
