StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q110,att_1,att_2,comp_1,comp_2,auto_1,resp_software1_10,resp_human1_10,liable_firm1_1,liable_human1_1,liab_text1,comp_3,co_1,resp_software2_10,resp_human2_10,liab_firm2_1,liab_human2_1,liab_text2,comp_4,auto_2,resp_software3_10,resp_human3_10,liab_soft3_1,liab_human3_1,liab_text3,comp_5,comp_6,co_2,resp_software4_10,resp_human4_10,liab_software4_1,liab_human4_1,liab_text4,comp_7,comp_8,norm_1_1,norm_1_2,norm_1_3,norm_1_4,norm_1_5,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,license,ai_knowledge_1,PROLIFIC_PID,FL_12_DO,av_frame1_acc_DO,av_frame2_acc_DO,av_frame3_acc_DO,av_frame4_acc_DO
3/22/23 14:14,3/22/23 14:20,0,50.5.201.106,100,318,1,3/22/23 14:20,R_u84I51cBdricWit,,,,,38.7062,-84.6194,anonymous,EN,1,64134b5a755788373f077403,2,2,2,4,,,,,,,,,,,,,,,6,0,100,2,100,The human driver is responsible for monitoring their environment,2,1,,,,,,,,,5,5,5,5,5,2,,3,,56,3,,1,40,64134b5a755788373f077403,FL_50,,,frame3_info3|frame3_info4|Q141|resp_human3|resp_software3|liab_soft3|liab_human3|liab_text3,
3/22/23 14:14,3/22/23 14:20,0,107.122.109.50,100,396,1,3/22/23 14:20,R_2rDyJQ1Gyw0BYMd,,,,,28.6344,-81.6221,anonymous,EN,1,60fd5c60ee87806639d6b9c2,2,2,2,4,,,,,,,,5,60,80,70,90,The driver is more liable because AI is not perfect and should be monitored at all time. ,1,,,,,,,,,,,,,,,,,5,5,5,5,5,2,,4,,20,3,,1,10,60fd5c60ee87806639d6b9c2,FL_36,,frame2_info3|resp_human2|resp_software2|liab_human2|liab_firm2|liab_text2,,
3/22/23 14:26,3/22/23 14:31,0,107.115.165.32,100,288,1,3/22/23 14:31,R_2U5ieR8qcjIqpfd,,,,,28.6524,-81.4897,anonymous,EN,1,63f27c7bd8cae620a73c4385,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,2,27,72,63,61,"The company is more liable. If the company had not advertise its copilot capabilities, the human wouldn’t have bought the product to be his copilot. The human is still liable, but not as liable as the company. The copilot AI should have been able to pick up the stop sign and engaged the emergency brakes. The human wasn’t paying attention and the copilot did not do its job correctly",1,1,5,5,5,5,5,1,,2,,19,3,,1,75,63f27c7bd8cae620a73c4385,FL_54,,,,frame4_info3|frame4_info4|Q148|resp_software4|resp_human4|liab_software4|liab_human4|liab_text4
3/22/23 14:30,3/22/23 14:32,0,173.52.102.157,100,117,1,3/22/23 14:32,R_3QRYgW1tfonDcMW,,,,,40.7292,-73.7514,anonymous,EN,1,63f14eeba7491a038b563add,2,2,2,4,,,,,,,,,,,,,,,3,46,43,60,61,It depends on what kind of situation the accident happened in.,2,1,,,,,,,,,3,3,2,3,4,1,,4,,22,4,,2,71,63f14eeba7491a038b563add,FL_50,,,frame3_info3|frame3_info4|Q141|liab_soft3|liab_human3|resp_software3|resp_human3|liab_text3,
3/22/23 14:25,3/22/23 14:32,0,76.113.47.149,100,402,1,3/22/23 14:32,R_3s5OlBSAVk1MmBt,,,,,35.0712,-106.5768,anonymous,EN,1,5d685fba2f68190001373917,2,1,2,4,,,,,,,,6,65,75,70,75,"The human driver is primarily responsible as the ultimate driver of the vehicle, but Aeon's Copilot is partially responsible because its driver assistance failed to recognize and stop for the stop sign, causing the accident.",1,,,,,,,,,,,,,,,,,5,5,5,5,5,4,non-binary,3,,38,3,,1,80,5d685fba2f68190001373917,FL_36,,frame2_info3|resp_human2|liab_human2|liab_firm2|resp_software2|liab_text2,,
3/22/23 14:31,3/22/23 14:38,0,68.238.251.85,100,450,1,3/22/23 14:38,R_2djdg1FhuHLyFQF,,,,,40.1578,-75.1236,anonymous,EN,1,61566a3f9dbfaa23c946b2fd,2,2,2,4,5,82,51,90,51,"The Company is more liable. The name Autopilot makes it sound like you're buying a machine that can handle all the driving, vs just certain aspects, so the human driver may have assumed that's what they bought.",2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,2,,3,,39,4,,1,58,61566a3f9dbfaa23c946b2fd,FL_35,frame1_info3|liable_firm1|resp_human1|resp_software1|liable_human1|liab_text1,,,
3/22/23 14:35,3/22/23 14:39,0,99.56.4.210,100,261,1,3/22/23 14:39,R_SN1ssjczFajatvH,,,,,33.6871,-84.151,anonymous,EN,1,63b772f79d1c57ef22409e28,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,4,75,77,79,78,"I believe there is shared responsibility in this instance, considering both the driver and Aeon's copilot program were controlling the car. The driver shouldn't have been checking his phone, but he also had a false sense of security due to the copilot program.",1,1,5,5,5,5,5,2,,3,,37,4,,1,68,63b772f79d1c57ef22409e28,FL_54,,,,frame4_info3|frame4_info4|Q148|resp_software4|liab_human4|resp_human4|liab_software4|liab_text4
3/22/23 14:37,3/22/23 14:40,0,73.234.63.115,100,198,1,3/22/23 14:40,R_1C30KCcy6QkF8Fg,,,,,43.1197,-70.9241,anonymous,EN,1,60fde5adcdb164e8251efbaa,2,2,2,4,,,,,,,,,,,,,,,2,56,91,59,88,I think that the human should always be conscious despite having autopilot on. It can go wrong at any point and they could still remain safe and in control,2,1,,,,,,,,,4,3,5,4,4,2,,3,,22,3,,1,39,60fde5adcdb164e8251efbaa,FL_50,,,frame3_info3|frame3_info4|Q141|liab_human3|liab_soft3|resp_software3|resp_human3|liab_text3,
3/22/23 14:35,3/22/23 14:41,0,174.235.50.167,100,334,1,3/22/23 14:41,R_Y0xygPAfS2rVcjf,,,,,34.0021,-81.0423,anonymous,EN,1,63d16bd1ce5b0ce6e50e5b81,2,2,2,4,5,60,100,50,100,"I think the human driving is obviously more at fault. However, the company should share some responsibility as I feel that the most important aspect of autonomous driving should be avoiding accidents.",2,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,2,,3,,34,3,,1,30,63d16bd1ce5b0ce6e50e5b81,FL_35,frame1_info3|resp_software1|resp_human1|liable_firm1|liable_human1|liab_text1,,,
3/22/23 14:36,3/22/23 14:43,0,75.194.186.70,100,399,1,3/22/23 14:43,R_p3sWL6zQXraXwsh,,,,,38.581,-121.4939,anonymous,EN,1,614ff5d9c6dc36af9c39da17,4,2,2,4,,,,,,,,3,100,100,100,100,"i think both are equally liable in this situation as it is not only a failure of safety on the company's part but also a completely stupid failure on the human side as well, regardless of safety systems in place its foolish an irresponsible to distract yourself from the road.",1,,,,,,,,,,,,,,,,,5,5,5,5,5,1,,5,,23,1,,1,40,614ff5d9c6dc36af9c39da17,FL_36,,frame2_info3|liab_human2|liab_firm2|resp_human2|resp_software2|liab_text2,,
