StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ic,prolific_id,att_1,att_2,firm_resp_1,human_resp_1,firm_liable_1,human_liable_1,reason,comp_3,comp_1,comp_2,automation,gender,gender_4_TEXT,ethnicity,ethnicity_6_TEXT,age,education,education_8_TEXT,ai_knowledge_1,workerID,hitID,assignmentId,label
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Informed Consent 



Participation is voluntary 

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated systems. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research? 

You will be compensated $1.00 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","To show whether you are reading carefully, please select ""Neither Agree nor Disagree"" in the options below.",Aeon's [Field-label] is responsible for the accident. - Aeon's ${e://Field/label} is responsible for the accident.,The human in the car is responsible for the accident.,"Aeon, the company, is liable for the damages from the accident.",The human in the car is liable for the damages from the accident.,"In a sentence or two, please explain why you think either Aeon, the company, or the human driver is more liable for the accident?","Based on the accident scenario with the [Field-label] system described to you a few moments ago, please choose one of the following multiple choice answers that seems correct to you.",You were shown a table. What did the table represent?,What were the values for vehicle type #1 (the one at the top of the table)?,What do you perceive as the level of automation for AEON's [Field-label] Program?,What is your gender? - Selected Choice,What is your gender? - Other (please specify) - Text,What is your ethnicity? - Selected Choice,What is your ethnicity? - Other (please specify) - Text,What is your age (in years)?,Please indicate the highest level of education completed. - Selected Choice,Please indicate the highest level of education completed. - Other (please specify) - Text,How much would you say you know about Artificial Intelligence?,workerID,hitID,assignmentId,label
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID336""}","{""ImportId"":""QID1717242892_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID341_1""}","{""ImportId"":""QID343_1""}","{""ImportId"":""QID357_1""}","{""ImportId"":""QID358_1""}","{""ImportId"":""QID359_TEXT""}","{""ImportId"":""QID329""}","{""ImportId"":""QID352""}","{""ImportId"":""QID351""}","{""ImportId"":""QID355""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""workerID""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""label""}"
2024-11-13 12:50:02,2024-11-13 12:54:04,0,68.204.148.8,100,242,1,2024-11-13 12:54:05,R_7cS9L1lu29nkUie,,,,,28.5836,-81.5324,anonymous,EN,1,66122c3b55a1487b4e58e292,2,5,51,51,52,54,"I think both should be held liable but it more so leans on the user since they understood the risk of it before using. ",1,2,4,4,1,,2,,25,4,,63,,,,Autopilot
2024-11-13 12:52:59,2024-11-13 12:55:40,0,47.226.126.20,100,160,1,2024-11-13 12:55:40,R_632PgtW8wBb7Snn,,,,,35.8906,-83.7246,anonymous,EN,1,610ad21c0586bfb21376e859,2,5,57,92,60,100,The human is definitely a fault because whether it's an autopilot car or not you are still in charge of that vehicle and then it is also the fault of the company because they are selling the fact that they don't need you in order to drive and they failed you.,1,2,4,4,2,,3,,35,3,,69,,,,Autopilot
2024-11-13 12:54:34,2024-11-13 12:57:36,0,71.59.253.68,100,182,1,2024-11-13 12:57:36,R_3Es4EVQbBQc6z2S,,,,,45.6435,-122.6247,anonymous,EN,1,670d71af070434dddcf04dd1,2,5,40,90,60,90,"The driver behind the wheel of a car in motion is responsible for what happens when he/she is operating the vehicle, especially with regard to an accident as a result of inattention.",1,2,4,4,1,,3,,50,4,,60,,,,Copilot
2024-11-13 12:53:38,2024-11-13 12:58:09,0,68.174.85.114,100,271,1,2024-11-13 12:58:10,R_31jO8lvCeEC2fMg,,,,,40.7359,-73.9904,anonymous,EN,1,663baede199d2cd441345fb5,2,5,100,66,100,65,"aeon promised as a company there product would protect from this ",1,2,4,4,2,,3,,23,4,,34,,,,Copilot
2024-11-13 12:54:54,2024-11-13 12:59:15,0,100.8.168.223,100,261,1,2024-11-13 12:59:16,R_7VyFwpQDA8LhtAY,,,,,40.8469,-74.1605,anonymous,EN,1,6667468c93963236857d7ccc,2,5,85,85,85,85,They are equally liable for the accident as both the AI program and the driver made severe mistakes that ended up injuring someone.,1,2,4,3,1,,4,,25,4,,80,,,,Autopilot
2024-11-13 12:54:36,2024-11-13 13:00:04,0,24.208.229.94,100,327,1,2024-11-13 13:00:05,R_3CNSsYSTTOobIEr,,,,,40.1578,-83.0752,anonymous,EN,1,667c9f9c07cc857002729af5,2,5,73,81,48,84,"I think that the human driver is still the most responsible because the auto feature is for convenience but that does not mean the driver shouldn't be watching the road. ",2,2,4,3,4,Genderfluid,3,,26,4,,79,,,,Autopilot
2024-11-13 12:55:57,2024-11-13 13:00:59,0,69.124.209.153,100,301,1,2024-11-13 13:00:59,R_1Doazcxd8iA24Br,,,,,40.3028,-74.2528,anonymous,EN,1,660c104d71c0bb0fe4b4d888,2,5,40,80,60,90,They both are liable but the human should still be liable because you can not just allow the artificial to take over everything without overlook,1,2,4,3,1,,3,,41,4,,25,,,,Autopilot
2024-11-13 12:54:30,2024-11-13 13:01:13,0,67.2.249.89,100,403,1,2024-11-13 13:01:13,R_70ipnmhq3NRHgUF,,,,,40.6566,-111.8907,anonymous,EN,1,66bd35fe5494cde7f5ca2a93,2,5,0,100,0,100,"I believe the human driver is responsible for the accident because he is driving the car, which means he should be attentive to everything around him. He should not rely fully on the equipment he's using, which only offers support. ",1,2,4,2,1,,3,,28,4,,30,,,,Copilot
