"Journal","Categorization.for.Coder.1","Categorization.for.Coder.2"
"New York Times",1,1
"New York Times",2,2
"New York Times",2,2
"New York Times",1,1
"New York Times",2,2
"New York Times",2,2
"New York Times",2,2
"New York Times",2,2
"New York Times",2,2
"New York Times",2,2
"New York Times",1,1
"New York Times",1,1
"New York Times",2,2
"New York Times",2,2
"New York Times",1,1
"New York Times",2,2
"New York Times",2,2
"New York Times",2,2
"New York Times",1,1
"New York Times",2,2
"New York Times",1,1
"New York Times",2,1
"New York Times",2,2
"New York Times",1,1
"New York Times",2,1
"New York Times",2,2
"New York Times",2,2
"New York Times",2,2
"New York Times",2,2
"New York Times",1,1
"USA Today",2,2
"USA Today",1,1
"USA Today",2,2
"USA Today",2,2
"USA Today",2,2
"USA Today",1,1
"USA Today",2,2
"USA Today",2,2
"USA Today",2,2
"USA Today",2,2
"USA Today",2,2
"USA Today",2,2
"USA Today",2,2
"USA Today",2,2
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",2,1
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",1,1
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",2,1
"Washington Post",1,1
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",1,1
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",1,1
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",1,1
"Washington Post",2,2
"Washington Post",2,2
"Washington Post",1,1
"Washington Post",2,2
"Washington Post",1,1
"Washington Post",1,1
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",1,1
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",1,1
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",1,1
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",2,2
"Wall Street Journal",1,1
"Wall Street Journal",2,2
"Wall Street Journal",1,1
"Wall Street Journal",2,2
"New York Post",2,2
"New York Post",1,1
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",1,1
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",2,2
"New York Post",1,1
"New York Post",2,2
"New York Post",1,1
"New York Post",2,2
