"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","brand","att_1","att_2","model","long","purchase","drive","acceleration_3","smooth_3","ease_3","issues_3","comp_1","comp_2","automation","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","ai_knowledge_1","aware","used","workerID","hitID","assignmentId","projectId"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Informed Consent 



Participation is voluntary 

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated systems. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 4 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session.



Will I be compensated for participating in this research? 

You will be compensated $0.80 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is Julian De Freitas who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","Which vehicle brands do you currently own? Select all that apply, or choose 'None of the above' if you don't own any.","This is an attention check. 

John is taller than Paul. Who is shorter?","To show whether you are reading carefully, please select ""Neither Agree nor Disagree"" in the options below.","Which Tesla model do you own?","How long have you owned your Tesla vehicle?","Did you purchase the Tesla vehicle yourself?","Do you usually drive the Tesla vehicle?","The acceleration and responsiveness of my Tesla meet my expectations for different driving conditions, such as city or highway.","My Tesla provides a smooth and quiet ride compared to other cars I’ve driven.","I can easily locate a Supercharger or other charging station when I’m on the road.","I rarely experience issues with charging speeds or station availability during busy travel times.","You were shown a table. What did the table represent?","What were the values for vehicle type #1 (the one at the top of the table)?","What do you perceive as the level of automation for Tesla's Autopilot?

Note- the goal of this question is not to test accuracy, so please do not search for this information on the internet or with search engines such as Google. Please answer based solely on your current knowledge of Tesla's Autopilot.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","How much would you say you know about Autonomous Vehicles?","Were you previously aware of Tesla's Autopilot software?","Have you ever used Tesla's Autopilot software?","workerID","hitID","assignmentId","projectId"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID336""}","{""ImportId"":""QID381""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID382_TEXT""}","{""ImportId"":""QID383""}","{""ImportId"":""QID386""}","{""ImportId"":""QID388""}","{""ImportId"":""QID379_3""}","{""ImportId"":""QID380_3""}","{""ImportId"":""QID374_3""}","{""ImportId"":""QID376_3""}","{""ImportId"":""QID352""}","{""ImportId"":""QID351""}","{""ImportId"":""QID355""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID384""}","{""ImportId"":""QID385""}","{""ImportId"":""workerID""}","{""ImportId"":""hitID""}","{""ImportId"":""assignmentId""}","{""ImportId"":""projectId""}"
"2024-11-15 13:31:08","2024-11-15 13:34:24","0","Anonymized","100","196","1","2024-11-15 13:34:25","R_3JfS1OzOpneuyRm","","","","","Anonymized","Anonymized","anonymous","EN","1","10","2","5","Model 3","2","1","1","85","93","42","39","2","4","4","2","","3","","31","4","","83","2","3","","","",""
"2024-11-15 14:00:17","2024-11-15 14:00:40","0","Anonymized","100","22","1","2024-11-15 14:00:41","R_7kqdZDTUBwcQjUR","","","","","Anonymized","Anonymized","anonymous","EN","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 14:02:05","2024-11-15 14:04:24","0","Anonymized","100","139","1","2024-11-15 14:04:24","R_1XNXWFwzm8M3oWZ","","","","","Anonymized","Anonymized","anonymous","EN","1","10,11","2","5","3","2","1","1","95","45","91","91","2","4","5","1","","3","","52","4","","91","2","2","","","",""
"2024-11-15 14:02:02","2024-11-15 14:05:38","0","Anonymized","100","215","1","2024-11-15 14:05:38","R_13aOu57qppdze6d","","","","","Anonymized","Anonymized","anonymous","EN","1","4,6,10","2","5","model 3","2","1","1","78","90","91","29","2","4","4","2","","5","","31","4","","64","2","2","","","",""
"2024-11-15 14:04:22","2024-11-15 14:06:06","0","Anonymized","100","103","1","2024-11-15 14:06:06","R_7EAfcUcffwMqJS0","","","","","Anonymized","Anonymized","anonymous","EN","1","11","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2024-11-15 14:14:46","2024-11-15 14:18:39","0","Anonymized","100","232","1","2024-11-15 14:18:39","R_17WhbxvXp618w9j","","","","","Anonymized","Anonymized","anonymous","EN","1","10","2","5","3","2","1","1","86","92","79","85","2","4","5","2","","4","","30","4","","57","2","3","","","",""
"2024-11-15 14:12:16","2024-11-15 14:19:01","0","Anonymized","100","404","1","2024-11-15 14:19:01","R_5ZPle8Tkb8M6hTG","","","","","Anonymized","Anonymized","anonymous","EN","1","4,10","2","5","Model 3","1","2","1","100","100","100","100","2","4","5","2","","3","","54","1","","70","2","3","","","",""
"2024-11-15 14:34:53","2024-11-15 14:35:46","0","Anonymized","100","52","1","2024-11-15 14:35:47","R_1IcpA2TiFmbsWsD","","","","","Anonymized","Anonymized","anonymous","EN","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
