"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q1","Q110","att_1","att_2","comp_1","comp_2","comp_3","words_1","level_1","level_2","hard_1_1","info_text","level_3","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","license","ai_knowledge_1","PROLIFIC_PID","clicked"
"Start Date","End Date","Response Type","Anonymized","Progress","Duration (in seconds)","Finished","Recorded Date","Response ID","Recipient Last Name","Recipient First Name","Recipient Email","External Data Reference","Anonymized","Anonymized","Distribution Channel","User Language","Informed Consent 



Participation is voluntary

It is your choice whether or not to participate in this research. If you choose to participate, you may change your mind and leave the study at any time. Refusal to participate or stopping your participation will involve no penalty or loss of benefits to which you are otherwise entitled.



What is the purpose of this research? 

The purpose of this research is to examine human judgments about automated vehicles. All data from this experiment are gathered for scientific purposes and will contribute to our eventual understanding of brain and visual function. These data may be published in scientific journals so that other researchers may have access to these data.



How long will I take part in this research? 

Your participation will take approximately 5-10 minutes to complete.



What can I expect if I take part in this research? 

As a participant, you will be asked to look at images presented on a video display and give responses with key presses or movements of a mouse pointing device. Your response may involve responding as quickly as you can, memorizing what you saw, making a judgment, or completing a questionnaire. You will also be asked to complete a demographics form.



What are the risks and possible discomforts? 

If you choose to participate, the effects should be comparable to those you would experience from viewing a computer monitor for 15 minutes and using a mouse or keyboard, e.g., eye fatigue. You are free to take breaks throughout the session. 



Will I be compensated for participating in this research? 

You will be compensated $0.94 for this study. You will still receive payment if you withdraw early.



If I take part in this research, how will my privacy be protected? What happens to the information you collect? 

Your participation in this experiment will remain confidential, and your identity will not be stored with your data.



If I have any questions, concerns or complaints about this research study, who can I talk to? 

The researcher for this study is [anonymized] who can be reached at 626.559.6401; #161 Morgan Hall, 15 Harvard Way, Boston MA, 02163; jdefreitas@hbs.edu. If you have questions, concerns, or complaints,

	If you would like to talk to the research team,
	If you think the research has harmed you, or
	If you wish to withdraw from the study.

This research has been reviewed by the Committee on the Use of Human Subjects in Research at Harvard University. They can be reached at 617-496-2847, 1350 Massachusetts Avenue, Suite 935, Cambridge, MA 02138, or cuhs@harvard.edu for any of the following:


	If your questions, concerns, or complaints are not being answered by the research team,
	If you cannot reach the research team,
	If you want to talk to someone besides the research team, or
	If you have questions about your rights as a research participant.","What is your Prolific ID?

Please note that this response should auto-fill with the correct ID.","This is an attention check. 

John is taller than Paul. Who is shorter?","What color is grass? The fresh, uncut grass, not leaves or hay. 

Please make sure to select purple, so that we know you're paying attention.","You were shown a table. What did the table represent?","What were the values for vehicle type #1 (the one at the top of the table)?","Also, to prove that you visited Tesla's web page, please type the last word that occurs on the web page at the very bottom of the page (scroll to the very bottom, and retrieve the word to the right of ""get newsletter"" in the footer of the web page):","Please use the following text box to type any words or phrases you might recall from the website. Please note that the goal of this task is not to test accuracy, so please do your best to recall any words or phrases without referencing the website again","The next question is based on the automation levels that were shown in a table in a previous question. The table is shown again at the bottom of this page for your reference.

On Tesla's Autopilot website, were you able to find the level of automation for Tesla's Autopilot? 
Note- the goal of this question is not to test accuracy, so please do not search for this information on other search engines such as Google. Please only refer to your memory of the website link provided in this survey, without looking at the website again.","Please indicate what level of automation you think Tesla Autopilot is, based on the information provided on the website. 



Note- the goal of this question is not to test accuracy so please do not search for this information on other search engines such as Google. Please only refer to your memory of the website link provided in this survey, without looking at the website again.","How easy or hard was is to find this information?","Please explain where on Tesla's website you were able to find this information on Autopilot's automation level.","Please indicate what level of automation you think Tesla Autopilot is, based on the information provided on the website. 


Note- the goal of this question is not to test accuracy so please do not search for this information on other search engines such as Google. Please only refer to the website link provided in this survey.","What is your gender? - Selected Choice","What is your gender? - Other (please specify) - Text","What is your ethnicity? - Selected Choice","What is your ethnicity? - Other (please specify) - Text","What is your age (in years)?","Please indicate the highest level of education completed. - Selected Choice","Please indicate the highest level of education completed. - Other (please specify) - Text","Do you have a driving license?","How much would you say you know about automated cars?","PROLIFIC_PID","clicked"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","Anonymized","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","Anonymized","Anonymized","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID110_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID182_TEXT""}","{""ImportId"":""QID172_TEXT""}","{""ImportId"":""QID173""}","{""ImportId"":""QID174""}","{""ImportId"":""QID162_1""}","{""ImportId"":""QID163_TEXT""}","{""ImportId"":""QID175""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""QID23_6_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_8_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27_1""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""clicked""}"
"2023-07-31 08:36:40","2023-07-31 08:45:51","0","Anonymized","100","551","1","2023-07-31 08:45:52","R_2fpxmuMhkiTWaDo","","","","","Anonymized","Anonymized","anonymous","EN","1","63d7c3a8c2a01e0924bcf806","2","2","2","4","Locations","Autopark, not fully autonomous at the moment, 360 view, in-path objects vs objects","2","","","","5","2","","7","","29","5","","1","13","63d7c3a8c2a01e0924bcf806","1"
"2023-07-31 08:36:50","2023-07-31 08:47:14","0","Anonymized","100","624","1","2023-07-31 08:47:15","R_O3SYukfLYTGhIgV","","","","","Anonymized","Anonymized","anonymous","EN","1","60fdab663ebe0cb7f3fd4d4d","2","2","2","4","Locations","Model S,  Model E, Model X, Model Y. Fast Charging. Apparel. Exoskeleton. 336 miles. Home charging. Find Electrician. ","2","","","","3","2","","3","","26","4","","1","30","60fdab663ebe0cb7f3fd4d4d","1"
"2023-07-31 08:35:45","2023-07-31 08:49:10","0","Anonymized","100","805","1","2023-07-31 08:49:11","R_3g0CVnlREfn6OvK","","","","","Anonymized","Anonymized","anonymous","EN","1","5f6e474cde863d36843ac8b7","2","2","1","4","Legal","Navigation at home ","2","","","","4","1","","4","","37","1","","1","28","5f6e474cde863d36843ac8b7","1"
"2023-07-31 08:41:21","2023-07-31 08:50:12","0","Anonymized","100","531","1","2023-07-31 08:50:13","R_Q0rEv4it03S6sQF","","","","","Anonymized","Anonymized","anonymous","EN","1","6134e3d48d0eaa5c8fe8c25e","2","2","2","4","Locations","Tesla is increasing its technology and will use better cameras to increase and improve autopilot features. The tesla will drive to your destination via the most efficient route and will drop you off at the front door and then park itself.","2","","","","6","2","","3","","36","4","","1","75","6134e3d48d0eaa5c8fe8c25e","1"
"2023-07-31 08:52:18","2023-07-31 09:01:05","0","Anonymized","100","527","1","2023-07-31 09:01:06","R_27kePnQ0uKimBWl","","","","","Anonymized","Anonymized","anonymous","EN","1","6105a5f8a8604f12279ef001","2","2","2","4","Couldn’t find it ","Future of driving, “advanced”, “cameras”","2","","","","3","2","","3","","23","3","","2","12","6105a5f8a8604f12279ef001","1"
"2023-07-31 09:00:50","2023-07-31 09:09:37","0","Anonymized","100","527","1","2023-07-31 09:09:38","R_2Csx6xiBzpISigO","","","","","Anonymized","Anonymized","anonymous","EN","1","6273eb3889cf00d5833ad23c","2","2","1","4","Couldnt find get newsletter! ","Tesla, auto pilot, cameras, sensor ","1","5","81","It was easy to find this information. But I wasn't able to find the get newsletter thus I wasn't able to find the word to put into the one space","","1","","3","","36","4","","1","75","6273eb3889cf00d5833ad23c","1"
"2023-07-31 09:00:21","2023-07-31 09:14:16","0","Anonymized","100","835","1","2023-07-31 09:14:17","R_1dFSWXuhnAXBIxE","","","","","Anonymized","Anonymized","anonymous","EN","1","6151e99643efef855fe4e0e2","2","2","2","4","Legal","Auto-driving, safety, reliable, billions of miles, software updates, neural","1","4","40","There are two main sections — one that displays what self driving might look like in the future and one that highlights existing features. I found the relevant information in the latter section.","","1","","4","","34","5","","1","35","6151e99643efef855fe4e0e2","1"
"2023-07-31 09:09:06","2023-07-31 09:19:33","0","Anonymized","100","626","1","2023-07-31 09:19:33","R_3HvP1GVIENSz9eZ","","","","","Anonymized","Anonymized","anonymous","EN","1","63279085ec65a992cc521187","2","2","2","4","Locations","AI, self driving Rearward Looking Side Cameras Wide Forward Camera","1","5","62","Menu","","2","","4","","28","4","","1","62","63279085ec65a992cc521187","1"
